id,population
S34000442,3894
S34000443,351
S34000444,369
S34000445,9974
S34000446,385
S34000447,1042
S34000448,439
S34000449,615
S34000450,221
S34000451,214
S34000452,1023
S34000453,797
S34000454,507
S34000455,489
S34000456,512
S34000457,888
S34000458,256
S34000459,466
S34000460,1104
S34000461,604
S34000462,366
S34000463,244
S34000464,257
S34000465,1502
S34000466,1889
S34000467,1789
S34000468,680
S34000469,506
S34000470,200
S34000471,257
S34000472,211
S34000473,295
S34000474,268
S34000475,215
S34000476,460
S34000477,475
S34000478,242
S34000479,995
S34000480,1677
S34000481,612
S34000482,488
S34000483,271
S34000484,374
S34000485,437
S34000486,250
S34000487,424
S34000488,707
S34000489,576
S34000490,1142
S34000491,265
S34000492,824
S34000493,1653
S34000494,556
S34000495,930
S34000496,200
S34000497,285
S34000498,256
S34000499,285
S34000500,261
S34000501,705
S34000502,634
S34000503,756
S34000504,411
S34000505,529
S34000506,559
S34000507,1050
S34000508,260
S34000509,355
S34000510,330
S34000511,551
S34000512,660
S34000513,797
S34000514,446
S34000515,256
S34000516,676
S34000517,540
S34000518,420
S34000519,749
S34000520,1349
S34000521,633
S34000522,227
S34000523,1247
S34000524,554
S34000525,667
S34000526,1128
S34000527,611
S34000528,2687
S34000529,217
S34000530,770
S34000531,428
S34000532,721
S34000533,449
S34000534,749
S34000535,461
S34000536,250
S34000537,839
S34000538,208
S34000539,609
S34000540,1566
S34000541,820
S34000542,581
S34000543,1225
S34000544,1423
S34000545,211
S34000546,589
S34000547,992
S34000548,641
S34000549,419
S34000550,683
S34000551,1710
S34000552,226
S34000553,1277
S34000554,2291
S34000555,701
S34000556,856
S34000557,1112
S34000558,1183
S34000559,245
S34000560,207
S34000561,461
S34000562,334
S34000563,343
S34000564,697
S34000565,1177
S34000566,679
S34000567,272
S34000568,560
S34000569,3724
S34000570,230
S34000571,377
S34000572,724
S34000573,315
S34000574,758
S34000575,2415
S34000576,336
S34000577,486
S34000578,224
S34000579,676
S34000580,320
S34000581,2220
S34000582,457
S34000583,632
S34000584,514
S34000585,274
S34000586,546
S34000587,1392
S34000588,943
S34000589,852
S34000590,2960
S34000591,806
S34000592,1152
S34000593,1114
S34000594,303
S34000595,1101
S34000596,334
S34000597,235
S34000598,247
S34000599,256
S34000600,268
S34000601,474
S34000602,333
S34000603,402
S34000604,212
S34000605,608
S34000606,985
S34000607,1390
S34000608,668
S34000609,431
S34000610,226
S34000611,569
S34000612,383
S34000613,448
S34000614,879
S34000615,601
S34000616,746
S34000617,301
S34000618,330
S34000619,547
S34000620,601
S34000621,1017
S34000622,699
S34000623,2316
S34000624,337
S34000625,675
S34000626,965
S34000627,774
S34000628,376
S34000629,1096
S34000630,762
S34000631,473
S34000632,435
S34000633,578
S34000634,3728
S34000635,1226
S34000636,250
S34000637,540
S34000638,1173
S34000639,310
S34000640,576
S34000641,1790
S34000642,1732
S34000643,699
S34000644,837
S34000645,684
S34000646,1056
S34000647,974
S34000648,647
S34000649,728
S34000650,677
S34000651,464
S34000652,521
S34000653,815
S34000654,1627
S34000655,662
S34000656,471
S34000657,491
S34000658,1911
S34000659,668
S34000660,691
S34000661,924
S34000662,513
S34000663,224
S34000664,261
S34000665,697
S34000666,458
S34000667,257
S34000668,3079
S34000669,434
S34000670,793
S34000671,455
S34000672,682
S34000673,696
S34000674,252
S34000675,343
S34000676,417
S34000677,824
S34000678,565
S34000679,289
S34000680,617
S34000681,4532
S34000682,231
S34000683,1266
S34000684,1637
S34000685,813
S34000686,1469
S34000687,668
S34000688,216
S34000689,626
S34000690,1201
S34000691,782
S34000692,252
S34000693,523
S34000694,478
S34000695,558
S34000696,552
S34000697,731
S34000698,593
S34000699,1854
S34000700,392
S34000701,1299
S34000702,1830
S34000703,354
S34000704,440
S34000705,599
S34000706,330
S34000707,971
S34000708,200
S34000709,307
S34000710,521
S34000711,437
S34000712,3212
S34000713,582
S34000714,1191
S34000715,2380
S34000716,2613
S34000717,957
S34000718,1076
S34000719,549
S34000720,243
S34000721,264
S34000722,308
S34000723,352
S34000724,405
S34000725,440
S34000726,234
S34000727,442
S34000728,222
S34000729,254
S34000730,203
S34000731,510
S34000732,458
S34000733,296
S34000734,232
S34000735,235
S34000736,736
S34000737,234
S34000738,495
S34000739,207
S34000740,278
S34000741,653
S34000742,231
S34000743,390
S34000744,263
S34000745,476
S34000746,212
S34000747,256
S34000748,259
S34000749,243
S34000750,212
S34000751,211
S34000752,407
S34000753,203
S34000754,219
S34000755,589
S34000756,209
S34000757,297
S34000758,456
S34000759,440
S34000760,306
S34000761,411
S34000762,336
S34000763,557
S34000764,358
S34000765,227
S34000766,325
S34000767,314
S34000768,242
S34000769,605
S34000770,393
S34000771,332
S34000772,292
S34000773,272
S34000774,520
S34000775,245
S34000776,257
S34000777,304
S34000778,615
S34000779,287
S34000780,252
S34000781,521
S34000782,295
S34000783,310
S34000784,357
S34000785,303
S34000786,225
S34000787,721
S34000788,251
S34000789,328
S34000790,404
S34000791,216
S34000792,245
S34000793,357
S34000794,257
S34000795,239
S34000796,395
S34000797,315
S34000798,356
S34000799,279
S34000800,218
S34000801,264
S34000802,214
S34000803,494
S34000804,228
S34000805,203
S34000806,214
S34000807,230
S34000808,795
S34000809,274
S34000810,292
S34000811,354
S34000812,323
S34000813,321
S34000814,357
S34000815,408
S34000816,214
S34000817,235
S34000818,221
S34000819,221
S34000820,444
S34000821,228
